"1904.11978","Yoogeun Song","Isao Okamoto and Yoogeun Song","Energy self-extraction of a Kerr black hole through its frame-dragged
  force-free magnetosphere","23 pages, 4 figures",,,,"gr-qc astro-ph.GA astro-ph.HE","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  It is shown that when only the condition} $0<\Omega_{\rm F}<\Omega_{\rm H}$
is satisfied, the Kerr black hole frame-drags its surrounding force-free
magnetosphere with the field-line-angular-velocity (FLAV) $\Omega_{\rm F}$,
where $\Omega_{\rm H}$ is the horizon angular-velocity. Then, the
zero-angular-momentum-observers (ZAMOs) circulating with the
frame-dragging-angular-velocity $\omega$ will see that the `null surface'
S$_{\rm N}$ where $\omega_{\rm N}=\Omega_{\rm F}$ always exists. They will see
that the outer domain $D_{\rm (out)}$ outside S$_{\rm N}$ is prograde-rotating
with $\Omega_{{\rm F} \omega}>0$, whereas the inner domain $D_{\rm (in)}$
inside is retrograde-rotating with $\Omega_{{\rm F} \omega}<0$, where
$\Omega_{{\rm F} \omega}=\Omega_{{\rm F}} - \omega$ denotes the ZAMO-FLAV.
`This surface' S$_{\rm N}$ must be the magneto-centrifugal divider of the
force-free magnetosphere, with a kind of plasma-shed on it. Subsequently, the
force-free and freezing-in conditions break down on S$_{\rm N}$, thereby
allowing the particle-current sources to be set up on S$_{\rm N}$. `This
surface' also is the ZAM-surface S$_{\rm ZAMD}$, on which no flow of angular
momentum nor electric current can cross. Because the electric field ${\bf
E}_{\rm p}$ reverses sign on S$_{\rm N}$, the Poynting flux reverses direction
from outward to inward on S$_{\rm N}$. An electromagnetic self-extraction of
energy will be possible only through the frame-dragged magnetosphere, with the
inner domain $D_{\rm (in)}$ nested between the horizon and `this surface'
S$_{\rm N}$, in order to comply with the first and second laws of
thermodynamics.
","[{""version"":""v1"",""created"":""Sun, 28 Apr 2019 05:58:34 GMT""},{""version"":""v2"",""created"":""Mon, 26 Oct 2020 06:23:38 GMT""},{""version"":""v3"",""created"":""Mon, 16 Aug 2021 14:01:57 GMT""},{""version"":""v4"",""created"":""Fri, 20 Aug 2021 04:34:34 GMT""},{""version"":""v5"",""created"":""Thu, 24 Mar 2022 06:25:27 GMT""},{""version"":""v6"",""created"":""Mon, 30 May 2022 05:10:42 GMT""},{""version"":""v7"",""created"":""Fri, 14 Apr 2023 08:43:20 GMT""}]","2023-04-17"
"1904.11984","Owen Pavel Fern\'andez Piedra","Owen Pavel Fern\'andez Piedra","Quantization of massive spinor fields around global monopoles","arXiv admin note: substantial text overlap with arXiv:1904.09861",,,,"gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The renormalized quantum stress energy tensor
$\left<T_{\mu}^{\nu}\right>_{ren}$ for a massive spinor field around global
monopoles is constructed within the framework of Schwinger-DeWitt
approximation, valid whenever the Compton length of the quantum field is much
less than the characteristic radius of the curvature of the background
geometry. The results obtained shows that the quantum massive spinor field in
the global monopole spacetime violates all the pointwise energy conditions.
","[{""version"":""v1"",""created"":""Sat, 27 Apr 2019 23:02:25 GMT""}]","2019-04-30"
"1904.12169","Moon-Jin Kang","Kyudong Choi, Moon-Jin Kang, Young-Sam Kwon, Alexis Vasseur","Contraction for large perturbations of traveling waves in a
  hyperbolic-parabolic system arising from a chemotaxis model",,,,,"math.AP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We consider a hyperbolic-parabolic system arising from a chemotaxis model in
angiogenesis, which is described by a Keller-Segel equation with singular
sensitivity. It is known to allow viscous shocks (so-called traveling waves).
We introduce a relative entropy of the system, which can capture how close a
solution at a given time is to a given shock wave in almost $L^2$-sense. When
the shock strength is small enough, we show the functional is non-increasing in
time for any large initial perturbation. The contraction property holds
independently of the strength of the diffusion.
","[{""version"":""v1"",""created"":""Sat, 27 Apr 2019 16:05:23 GMT""}]","2019-04-30"
"1904.12170","Rai Moriya","Kei Kinoshita, Rai Moriya, Momoko Onodera, Yusai Wakafuji, Satoru
  Masubuchi, Kenji Watanabe, Takashi Taniguchi, and Tomoki Machida","Dry release transfer of graphene and few-layer h-BN by utilizing
  thermoplasticity of polypropylene carbonate for fabricating edge-contact-free
  van der Waals heterostructures","25 pages, 5 figures","This is a pre-print of an article published in npj 2D Materials
  and Applications 3, 22 (2019) . The final authenticated version is available
  online at following DOI","10.1038/s41699-019-0104-8",,"physics.app-ph cond-mat.mes-hall cond-mat.mtrl-sci","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The dry release transfer of two-dimensional (2D) materials such as graphene,
h-BN, and TMDs is a versatile method for fabricating high-quality van der Waals
heterostructures. Up until now, polydimethylpolysiloxane (PDMS) sheets have
been widely used for the dry release transfer of TMD materials. However, this
method has been known to have limitations that make it difficult to transfer
few-layer-thick graphene and h-BN because of the difficulty to fabricate these
materials on PDMS. As an alternative method, we demonstrate the dry release
transfer of single- and bi-layer graphene and few-layer h-BN in this study by
utilizing poly(propylene) carbonate (PPC) films. Because of the strong adhesion
between PPC and 2D materials around room temperature, we demonstrate that
single- to few-layer graphene, as well as few-layer h-BN, can be fabricated on
a spin-coated PPC film/290-nm-thick SiO2/Si substrate via the mechanical
exfoliation method. In addition, we show that these few-layer crystals are
clearly distinguishable using an optical microscope with the help of optical
interference. Because of the thermoplastic properties of PPC film, the adhesion
force between the 2D materials and PPC significantly decreases at about 70
{\deg}C. Therefore, we demonstrate that single- to few-layer graphene, as well
as few-layer h-BN flakes, on PPC can be easily dry-transferred onto another
h-BN substrate. This method enables a multilayer van der Waals heterostructure
to be constructed with a minimum amount of polymer contamination. We
demonstrate the fabrication of encapsulated h-BN/graphene/h-BN devices and
graphene/few-layer h-BN/graphene vertical-tunnel-junction devices using this
method. Since devices fabricated by this method do not require an edge-contact
scheme, our finding provide a simples method for constructing high-quality
graphene and h-BN-based van der Waals heterostructures.
","[{""version"":""v1"",""created"":""Sat, 27 Apr 2019 16:08:10 GMT""}]","2019-05-21"
"1904.12171","Zhi-Hua Zhou","Bo-Jian Hou and Lijun Zhang and Zhi-Hua Zhou","Prediction with Unpredictable Feature Evolution",,,,,"cs.LG stat.ML","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Learning with feature evolution studies the scenario where the features of
the data streams can evolve, i.e., old features vanish and new features emerge.
Its goal is to keep the model always performing well even when the features
happen to evolve. To tackle this problem, canonical methods assume that the old
features will vanish simultaneously and the new features themselves will emerge
simultaneously as well. They also assume there is an overlapping period where
old and new features both exist when the feature space starts to change.
However, in reality, the feature evolution could be unpredictable, which means
the features can vanish or emerge arbitrarily, causing the overlapping period
incomplete. In this paper, we propose a novel paradigm: Prediction with
Unpredictable Feature Evolution (PUFE) where the feature evolution is
unpredictable. To address this problem, we fill the incomplete overlapping
period and formulate it as a new matrix completion problem. We give a
theoretical bound on the least number of observed entries to make the
overlapping period intact. With this intact overlapping period, we leverage an
ensemble method to take the advantage of both the old and new feature spaces
without manually deciding which base models should be incorporated. Theoretical
and experimental results validate that our method can always follow the best
base models and thus realize the goal of learning with feature evolution.
","[{""version"":""v1"",""created"":""Sat, 27 Apr 2019 16:08:24 GMT""},{""version"":""v2"",""created"":""Sat, 12 Jun 2021 08:24:40 GMT""}]","2021-06-15"
"1904.12172","Zhongwei Shen","Fanghua Lin and Zhongwei Shen","Uniform Boundary Controllability and Homogenization of Wave Equations","This revised version corrects a flaw in the proof of one of the main
  theorems in the previous version. The statements of the main results are
  revised. The previous version was published in JEMS 24, pp.3031-3053 (2022)
  with an erratum in the same issue",,,,"math.AP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We obtain sharp convergence rates, using Dirichlet correctors, for solutions
of wave equations in a bounded domain with rapidly oscillating periodic
coefficients. The results are used to prove the exact boundary controllability
that is uniform in $\epsilon$ - the scale of the microstructure, for the
projection of solutions to the subspace generated by the eigenfunctions with
eigenvalues less that $C\epsilon^{-1/2}$.
","[{""version"":""v1"",""created"":""Sat, 27 Apr 2019 16:10:45 GMT""},{""version"":""v2"",""created"":""Fri, 13 May 2022 19:40:16 GMT""}]","2022-05-17"
"1904.12173","Soumya Sankar","Soumya Sankar","Proportion of ordinarity in some families of curves over finite fields",,,,,"math.NT math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A curve over a field of characteristic $p$ is called ordinary if the
$p$-torsion of its Jacobian as large as possible, that is, an $\mathbb{F}_p$
vector space of dimension equal to its genus. In this paper we consider the
following question: fix a finite field $\mathbb{F}_q$ and a family
$\mathscr{F}$ of curves over $\mathbb{F}_q$. Then, what is the probability that
a curve in this family is ordinary? We answer this question when $\mathscr{F}$
is either the Artin-Schreier family in any characteristic or a superelliptic
family in characteristic 2.
","[{""version"":""v1"",""created"":""Sat, 27 Apr 2019 16:22:22 GMT""},{""version"":""v2"",""created"":""Sat, 19 Dec 2020 19:48:24 GMT""}]","2020-12-22"
"1904.12174","Jason Hindes","Jason Hindes, Philippe Jacquod, and Ira B. Schwartz","Network desynchronization by non-Gaussian fluctuations","to appear in PRE","Phys. Rev. E 100, 052314 (2019)","10.1103/PhysRevE.100.052314",,"nlin.AO physics.soc-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Many networks must maintain synchrony despite the fact that they operate in
noisy environments. Important examples are stochastic inertial oscillators,
which are known to exhibit fluctuations with broad tails in many applications,
including electric power networks with renewable energy sources. Such
non-Gaussian fluctuations can result in rare network desynchronization. Here we
build a general theory for inertial oscillator network desynchronization by
non-Gaussian noise. We compute the rate of desynchronization and show that
higher-moments of noise enter at specific powers of coupling: either speeding
up or slowing down the rate exponentially depending on how noise statistics
match the statistics of a network's slowest mode. Finally, we use our theory to
introduce a technique that drastically reduces the effective description of
network desynchronization. Most interestingly, when instability is associated
with a single edge, the reduction is to one stochastic oscillator.
","[{""version"":""v1"",""created"":""Sat, 27 Apr 2019 16:36:57 GMT""},{""version"":""v2"",""created"":""Tue, 12 Nov 2019 13:16:24 GMT""}]","2019-12-03"
"1904.12175","Ying Qu","Ying Qu and Hairong Qi and Chiman Kwan and Naoto Yokoya and Jocelyn
  Chanussot","Unsupervised and Unregistered Hyperspectral Image Super-Resolution with
  Mutual Dirichlet-Net","IEEE Transactions on Remote Sensing and Geoscience",,"10.1109/TGRS.2021.3079518",,"cs.CV eess.IV","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Hyperspectral images (HSI) provide rich spectral information that contributed
to the successful performance improvement of numerous computer vision tasks.
However, it can only be achieved at the expense of images' spatial resolution.
Hyperspectral image super-resolution (HSI-SR) addresses this problem by fusing
low resolution (LR) HSI with multispectral image (MSI) carrying much higher
spatial resolution (HR). All existing HSI-SR approaches require the LR HSI and
HR MSI to be well registered and the reconstruction accuracy of the HR HSI
relies heavily on the registration accuracy of different modalities. This paper
exploits the uncharted problem domain of HSI-SR without the requirement of
multi-modality registration. Given the unregistered LR HSI and HR MSI with
overlapped regions, we design a unique unsupervised learning structure linking
the two unregistered modalities by projecting them into the same statistical
space through the same encoder. The mutual information (MI) is further adopted
to capture the non-linear statistical dependencies between the representations
from two modalities (carrying spatial information) and their raw inputs. By
maximizing the MI, spatial correlations between different modalities can be
well characterized to further reduce the spectral distortion. A collaborative
$l_{2,1}$ norm is employed as the reconstruction error instead of the more
common $l_2$ norm, so that individual pixels can be recovered as accurately as
possible. With this design, the network allows to extract correlated spectral
and spatial information from unregistered images that better preserves the
spectral information. The proposed method is referred to as unregistered and
unsupervised mutual Dirichlet Net ($u^2$-MDN). Extensive experimental results
using benchmark HSI datasets demonstrate the superior performance of $u^2$-MDN
as compared to the state-of-the-art.
","[{""version"":""v1"",""created"":""Sat, 27 Apr 2019 16:38:35 GMT""},{""version"":""v2"",""created"":""Fri, 10 May 2019 13:44:25 GMT""},{""version"":""v3"",""created"":""Thu, 15 Apr 2021 20:02:23 GMT""},{""version"":""v4"",""created"":""Mon, 10 May 2021 10:18:18 GMT""},{""version"":""v5"",""created"":""Mon, 2 Aug 2021 13:44:38 GMT""}]","2021-08-03"
"1904.12176","Marcel Bornemann","Marcel Bornemann, Sergii Grytsiuk, Paul F. Baumeister, Manuel dos
  Santos Dias, Rudolf Zeller, Samir Lounis, and Stefan Bl\""ugel","Complex magnetism of B20-MnGe: from spin-spirals, hedgehogs to monopoles",,"J. Phys.: Condens. Matter 31 485801 (2019)","10.1088/1361-648X/ab38a0",,"cond-mat.mtrl-sci cond-mat.mes-hall","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  B20 compounds are the playground for various non-trivial magnetic textures
such as skyrmions, which are topologically protected states. Recent
measurements on B20-MnGe indicate no clear consensus on its magnetic behavior,
which is characterized by the presence of either spin-spirals or 3-dimensional
objects interpreted to be a cubic lattice of hedgehogs and anti-hedgehogs.
Utilizing a massively parallel linear scaling all-electron density functional
algorithm, we find from full first-principles simulations on cells containing
thousands of atoms that upon increase of the compound volume, the state with
lowest energy switches across different magnetic phases: ferromagnetic,
spin-spiral, hedgehog and monopole.
","[{""version"":""v1"",""created"":""Sat, 27 Apr 2019 16:39:00 GMT""},{""version"":""v2"",""created"":""Sun, 21 Jul 2019 16:34:16 GMT""}]","2019-09-17"
